,description,tags,price,product_id,image
23,"Love ring, small model, 18K white gold, set with 72 brilliant-cut diamonds totaling 0.19 carats. Width: 2.6mm.","white gold, diamonds",4800.0,e6cad1fc-4939-7ffe-5920-20671cefc30c,https://www.cartier.sg//content/dam/rcq/car/10/57/33/4/1057334.png
24,"Love wedding band, 18K yellow gold, set with 88 brilliant-cut diamonds totaling 0.31 carats. 4mm to 5mm width following metrics.","yellow gold, diamonds",6650.0,6e58fc6c-fb26-be5b-1f06-d4a4e595243b,https://www.cartier.sg//content/dam/rcq/car/63/23/98/632398.png
25,"Love wedding band, 18K rose gold, set with 88 brilliant-cut diamonds totaling 0.31 carats. 4 to 5 width following sizes.","pink gold, diamonds",6650.0,6e58fc6c-fb26-be5b-1f06-d4a4e595243b,https://www.cartier.sg//content/dam/rcq/car/63/24/07/632407.png
26,"Love wedding band, 18K white gold, set with 88 brilliant-cut diamond totaling 0.31 carats. 4mm to 5mm width following sizes.","white gold, diamonds",7100.0,6e58fc6c-fb26-be5b-1f06-d4a4e595243b,https://www.cartier.sg//content/dam/rcq/car/63/24/06/632406.png
27,"Love ring, 18K pink gold, set with 66 brilliant-cut diamonds totaling 0.70 carat. Width: 6.5 mm.","pink gold, diamonds",8800.0,a242ffe2-67d3-3fb4-dcaf-4b635e4e3b1f,https://www.cartier.sg//content/dam/rcq/car/58/62/96/586296.png
28,"Love ring, 18K white gold, set with 72 brilliant-cut diamonds totaling 1.26 carats. Width: 6.5mm.","white gold, diamonds",14900.0,a242ffe2-67d3-3fb4-dcaf-4b635e4e3b1f,https://www.cartier.sg//content/dam/rcq/car/19/44/00/0/1944000.png
29,"Love ring, 18K rose gold, 18K white gold, set with 52 brilliant-cut diamonds totaling 0.19 carats. White gold width 2.6mm. Rose gold width 3.5mm.","pink gold, white gold, diamonds",6450.0,a242ffe2-67d3-3fb4-dcaf-4b635e4e3b1f,https://www.cartier.sg//content/dam/rcq/car/19/43/99/2/1943992.png
30,"Love ring, 18K white gold, black ceramic, set with 66 brilliant-cut diamonds totaling 0.74 carats. Width: 6.5mm.","white gold, ceramic, diamonds",10900.0,9fa2f41c-bf06-07ef-3758-ca8c169700bc,https://www.cartier.sg//content/dam/rcq/car/58/77/67/587767.png
31,"Love ring, 18K rose gold, set with 1 rose sapphire. Width: 5.5mm.","pink gold, sapphire",2380.0,8968fda8-1003-17f4-0819-c68c3155ecb3,https://www.cartier.sg//content/dam/rcq/car/63/24/00/632400.png
32,"Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm.","pink gold, white gold, diamonds",3500.0,cc21443e-8808-c302-02e1-3036a9123fad,https://www.cartier.sg//content/dam/rcq/car/19/43/99/1/1943991.png
